period,naver_index,keyword
2025-04-01,100.0,다이어트
2025-05-01,99.50968,다이어트
2025-06-01,95.42237,다이어트
2025-07-01,92.3323,다이어트
2025-08-01,87.68958,다이어트
2025-09-01,75.74066,다이어트
2025-10-01,65.49398,다이어트
2025-11-01,59.00912,다이어트
2025-12-01,60.88865,다이어트
2026-01-01,78.08972,다이어트
2026-02-01,57.42461,다이어트
2026-03-01,67.61035,다이어트
2025-04-01,100.0,알룰로스
2025-05-01,97.42839,알룰로스
2025-06-01,97.80561,알룰로스
2025-07-01,91.36148,알룰로스
2025-08-01,89.05586,알룰로스
2025-09-01,75.32734,알룰로스
2025-10-01,58.17243,알룰로스
2025-11-01,60.30274,알룰로스
2025-12-01,61.704,알룰로스
2026-01-01,76.38766,알룰로스
2026-02-01,59.62689,알룰로스
2026-03-01,72.11737,알룰로스
2025-04-01,80.80665,자이로토닉
2025-05-01,62.34806,자이로토닉
2025-06-01,61.44526,자이로토닉
2025-07-01,77.85203,자이로토닉
2025-08-01,100.0,자이로토닉
2025-09-01,73.41618,자이로토닉
2025-10-01,70.2466,자이로토닉
2025-11-01,70.5749,자이로토닉
2025-12-01,57.22437,자이로토닉
2026-01-01,54.41044,자이로토닉
2026-02-01,79.24336,자이로토닉
2026-03-01,54.85598,자이로토닉
2025-04-01,100.0,비만클리닉
2025-05-01,97.67068,비만클리닉
2025-06-01,87.22891,비만클리닉
2025-07-01,95.28781,비만클리닉
2025-08-01,96.94779,비만클리닉
2025-09-01,90.54886,비만클리닉
2025-10-01,83.42704,비만클리닉
2025-11-01,65.24765,비만클리닉
2025-12-01,81.31191,비만클리닉
2026-01-01,80.48192,비만클리닉
2026-02-01,63.02543,비만클리닉
2026-03-01,82.97188,비만클리닉
2025-04-01,100.0,사업아이템
2025-05-01,91.9148,사업아이템
2025-06-01,87.63557,사업아이템
2025-07-01,79.21514,사업아이템
2025-08-01,69.19739,사업아이템
2025-09-01,67.04791,사업아이템
2025-10-01,60.0276,사업아이템
2025-11-01,66.83099,사업아이템
2025-12-01,60.1262,사업아이템
2026-01-01,58.37112,사업아이템
2026-02-01,48.51114,사업아이템
2026-03-01,53.52001,사업아이템
2025-04-01,100.0,다이어트한의원
2025-05-01,87.68307,다이어트한의원
2025-06-01,75.49819,다이어트한의원
2025-07-01,78.0192,다이어트한의원
2025-08-01,91.5006,다이어트한의원
2025-09-01,69.14765,다이어트한의원
2025-10-01,56.5186,다이어트한의원
2025-11-01,53.24129,다이어트한의원
2025-12-01,69.49579,다이어트한의원
2026-01-01,82.90516,다이어트한의원
2026-02-01,44.5138,다이어트한의원
2026-03-01,68.39135,다이어트한의원
2025-04-01,95.3591,감비환
2025-05-01,100.0,감비환
2025-06-01,90.14979,감비환
2025-07-01,93.60037,감비환
2025-08-01,85.89006,감비환
2025-09-01,80.3397,감비환
2025-10-01,69.11194,감비환
2025-11-01,59.87695,감비환
2025-12-01,65.8486,감비환
2026-01-01,63.06673,감비환
2026-02-01,53.24996,감비환
2026-03-01,71.17159,감비환
2025-04-01,100.0,다이어트한약
2025-05-01,99.06886,다이어트한약
2025-06-01,85.94755,다이어트한약
2025-07-01,78.43101,다이어트한약
2025-08-01,79.96491,다이어트한약
2025-09-01,65.47163,다이어트한약
2025-10-01,57.27587,다이어트한약
2025-11-01,52.17039,다이어트한약
2025-12-01,59.31806,다이어트한약
2026-01-01,64.90036,다이어트한약
2026-02-01,44.43794,다이어트한약
2026-03-01,58.2205,다이어트한약
2025-04-01,100.0,한방다이어트
2025-05-01,91.37392,한방다이어트
2025-06-01,93.13036,한방다이어트
2025-07-01,76.93208,한방다이어트
2025-08-01,70.68696,한방다이어트
2025-09-01,73.53629,한방다이어트
2025-10-01,63.5441,한방다이어트
2025-11-01,62.13895,한방다이어트
2025-12-01,68.81342,한방다이어트
2026-01-01,69.516,한방다이어트
2026-02-01,51.40515,한방다이어트
2026-03-01,64.94925,한방다이어트
2025-04-01,85.9487,줌바댄스
2025-05-01,82.32779,줌바댄스
2025-06-01,100.0,줌바댄스
2025-07-01,96.84582,줌바댄스
2025-08-01,95.65196,줌바댄스
2025-09-01,84.38636,줌바댄스
2025-10-01,62.38577,줌바댄스
2025-11-01,63.19642,줌바댄스
2025-12-01,70.3498,줌바댄스
2026-01-01,73.45976,줌바댄스
2026-02-01,57.27129,줌바댄스
2026-03-01,76.14719,줌바댄스
2025-04-01,86.82808,댄스다이어트
2025-05-01,87.89346,댄스다이어트
2025-06-01,96.46489,댄스다이어트
2025-07-01,100.0,댄스다이어트
2025-08-01,86.24697,댄스다이어트
2025-09-01,69.24939,댄스다이어트
2025-10-01,60.1937,댄스다이어트
2025-11-01,58.74092,댄스다이어트
2025-12-01,65.90799,댄스다이어트
2026-01-01,81.64648,댄스다이어트
2026-02-01,60.92009,댄스다이어트
2026-03-01,70.02421,댄스다이어트
2025-04-01,95.51517,다이어트음식
2025-05-01,95.42897,다이어트음식
2025-06-01,100.0,다이어트음식
2025-07-01,94.65768,다이어트음식
2025-08-01,88.65069,다이어트음식
2025-09-01,74.5066,다이어트음식
2025-10-01,59.11936,다이어트음식
2025-11-01,51.85563,다이어트음식
2025-12-01,51.61744,다이어트음식
2026-01-01,73.21355,다이어트음식
2026-02-01,52.06206,다이어트음식
2026-03-01,68.36123,다이어트음식
2025-04-01,92.14866,다이어트운동
2025-05-01,100.0,다이어트운동
2025-06-01,96.24943,다이어트운동
2025-07-01,90.03615,다이어트운동
2025-08-01,86.9521,다이어트운동
2025-09-01,69.13691,다이어트운동
2025-10-01,62.34749,다이어트운동
2025-11-01,58.95842,다이어트운동
2025-12-01,59.71531,다이어트운동
2026-01-01,70.96701,다이어트운동
2026-02-01,56.26976,다이어트운동
2026-03-01,63.23994,다이어트운동
2025-04-01,73.19762,다이어트영어
2025-05-01,84.05428,다이어트영어
2025-06-01,83.2061,다이어트영어
2025-07-01,84.30873,다이어트영어
2025-08-01,90.07633,다이어트영어
2025-09-01,88.4648,다이어트영어
2025-10-01,77.18405,다이어트영어
2025-11-01,67.09075,다이어트영어
2025-12-01,74.38507,다이어트영어
2026-01-01,100.0,다이어트영어
2026-02-01,72.43426,다이어트영어
2026-03-01,91.51823,다이어트영어
2025-04-01,99.37888,클렌즈다이어트
2025-05-01,100.0,클렌즈다이어트
2025-06-01,93.46347,클렌즈다이어트
2025-07-01,83.46643,클렌즈다이어트
2025-08-01,80.56787,클렌즈다이어트
2025-09-01,67.55397,클렌즈다이어트
2025-10-01,57.0837,클렌즈다이어트
2025-11-01,55.04288,클렌즈다이어트
2025-12-01,55.84146,클렌즈다이어트
2026-01-01,75.48062,클렌즈다이어트
2026-02-01,55.664,클렌즈다이어트
2026-03-01,70.68914,클렌즈다이어트
2025-04-01,98.52503,다이어트방법
2025-05-01,100.0,다이어트방법
2025-06-01,95.57509,다이어트방법
2025-07-01,82.9244,다이어트방법
2025-08-01,82.45638,다이어트방법
2025-09-01,68.52928,다이어트방법
2025-10-01,64.04765,다이어트방법
2025-11-01,64.38803,다이어트방법
2025-12-01,71.02538,다이어트방법
2026-01-01,78.40022,다이어트방법
2026-02-01,56.82881,다이어트방법
2026-03-01,61.86356,다이어트방법
2025-04-01,100.0,단기간다이어트
2025-05-01,94.05518,단기간다이어트
2025-06-01,83.15764,단기간다이어트
2025-07-01,81.43698,단기간다이어트
2025-08-01,87.61432,단기간다이어트
2025-09-01,75.18989,단기간다이어트
2025-10-01,59.34738,단기간다이어트
2025-11-01,43.13284,단기간다이어트
2025-12-01,42.38877,단기간다이어트
2026-01-01,58.51805,단기간다이어트
2026-02-01,41.91598,단기간다이어트
2026-03-01,47.99255,단기간다이어트
2025-04-01,99.89743,다이어트식단
2025-05-01,98.70605,다이어트식단
2025-06-01,100.0,다이어트식단
2025-07-01,92.32576,다이어트식단
2025-08-01,87.6282,다이어트식단
2025-09-01,74.11749,다이어트식단
2025-10-01,61.91504,다이어트식단
2025-11-01,57.13519,다이어트식단
2025-12-01,52.96355,다이어트식단
2026-01-01,73.49615,다이어트식단
2026-02-01,57.2938,다이어트식단
2026-03-01,78.34994,다이어트식단
2025-04-01,97.7637,다이어트보조제순위
2025-05-01,94.65663,다이어트보조제순위
2025-06-01,81.83257,다이어트보조제순위
2025-07-01,99.90104,다이어트보조제순위
2025-08-01,100.0,다이어트보조제순위
2025-09-01,78.78488,다이어트보조제순위
2025-10-01,69.87927,다이어트보조제순위
2025-11-01,65.64417,다이어트보조제순위
2025-12-01,57.49059,다이어트보조제순위
2026-01-01,59.7071,다이어트보조제순위
2026-02-01,17.96952,다이어트보조제순위
2026-03-01,9.55867,다이어트보조제순위
2025-04-01,100.0,다이어트약
2025-05-01,95.58831,다이어트약
2025-06-01,86.48351,다이어트약
2025-07-01,78.62771,다이어트약
2025-08-01,87.52077,다이어트약
2025-09-01,72.4819,다이어트약
2025-10-01,60.69954,다이어트약
2025-11-01,54.6529,다이어트약
2025-12-01,66.21013,다이어트약
2026-01-01,75.47306,다이어트약
2026-02-01,59.4559,다이어트약
2026-03-01,67.60653,다이어트약
