keyword,monthlyPcQcCnt,monthlyMobileQcCnt,plAvgDepth,compIdx,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,naver_total_qc,mobile_ratio,pc_ratio
알룰로스,7430.0,57600.0,8,,34.1,1192.2,0.49,2.19,65030.0,0.8857450407504229,0.11425495924957711
자이로토닉,2100.0,12400.0,10,,13.4,166.4,0.7,1.44,14500.0,0.8551724137931035,0.14482758620689656
비만클리닉,540.0,2590.0,10,,5.7,36.6,1.15,1.55,3130.0,0.8274760383386581,0.17252396166134185
사업아이템,660.0,2010.0,10,,2.4,16.0,0.4,0.86,2670.0,0.7528089887640449,0.24719101123595505
다이어트,9230.0,41200.0,10,,31.1,302.6,0.37,0.79,50430.0,0.8169740233987706,0.18302597660122943
다이어트방법,840.0,4060.0,10,,1.0,37.3,0.14,1.13,4900.0,0.8285714285714286,0.17142857142857143
다이어트샵,30.0,240.0,10,,0.2,3.8,0.59,1.74,270.0,0.8888888888888888,0.1111111111111111
체지방,490.0,2610.0,10,,0.1,8.0,0.03,0.34,3100.0,0.8419354838709677,0.15806451612903225
다이어트한의원,1750.0,4400.0,10,,16.6,102.3,1.05,2.5,6150.0,0.7154471544715447,0.2845528455284553
지방분해주사,3150.0,10700.0,10,,8.2,88.6,0.29,0.91,13850.0,0.7725631768953068,0.22743682310469315
스테비아,2700.0,15600.0,10,,5.0,156.2,0.21,1.08,18300.0,0.8524590163934426,0.14754098360655737
다이어트한약,2840.0,10700.0,10,,18.6,174.8,0.73,1.76,13540.0,0.7902511078286558,0.20974889217134415
대리점모집,130.0,120.0,10,,1.9,3.4,1.5,2.86,250.0,0.48,0.52
다이어트약,3730.0,22400.0,10,,7.0,136.4,0.21,0.66,26130.0,0.8572522005357827,0.14274779946421737
다이어트병원,410.0,1930.0,10,,4.1,30.4,1.12,1.7,2340.0,0.8247863247863247,0.1752136752136752
한방다이어트,450.0,1280.0,10,,3.4,33.7,0.84,2.83,1730.0,0.7398843930635838,0.26011560693641617
감비환,1730.0,9070.0,10,,9.8,131.2,0.63,1.61,10800.0,0.8398148148148148,0.16018518518518518
비만치료,120.0,430.0,10,,1.3,4.2,1.15,1.07,550.0,0.7818181818181819,0.21818181818181817
무인창업,1040.0,3560.0,10,,39.1,208.0,4.09,6.33,4600.0,0.7739130434782608,0.22608695652173913
프랜차이즈,4950.0,8040.0,10,,48.1,55.4,1.08,0.76,12990.0,0.6189376443418014,0.3810623556581986
비만,1520.0,3870.0,10,,0.4,4.6,0.03,0.14,5390.0,0.7179962894248608,0.2820037105751391
올리고당,1160.0,6790.0,8,,3.0,108.8,0.28,1.73,7950.0,0.8540880503144654,0.1459119496855346
자이로토닉자격증,50.0,400.0,10,,1.0,27.4,2.09,7.29,450.0,0.8888888888888888,0.1111111111111111
식욕억제제,2710.0,15600.0,10,,3.5,87.0,0.15,0.6,18310.0,0.85199344620426,0.14800655379574004
한약다이어트,790.0,3550.0,10,,3.4,45.6,0.48,1.41,4340.0,0.8179723502304147,0.18202764976958524
삭센다,2650.0,7980.0,10,,0.4,6.0,0.02,0.08,10630.0,0.7507055503292568,0.24929444967074318
고도비만,300.0,1200.0,10,,0.1,2.2,0.04,0.2,1500.0,0.8,0.2
다이어트환,930.0,3330.0,10,,4.5,37.8,0.54,1.29,4260.0,0.7816901408450704,0.21830985915492956
단기간다이어트,1110.0,5590.0,10,,4.1,88.5,0.41,1.85,6700.0,0.8343283582089552,0.16567164179104477
프랜차이즈모집,20.0,,7,,1.7,1.2,9.03,17.65,20.0,,1.0
아르기닌주사,310.0,1070.0,10,,0.3,3.8,0.11,0.38,1380.0,0.7753623188405797,0.2246376811594203
창업,8690.0,10100.0,10,,48.7,120.2,0.61,1.27,18790.0,0.5375199574241618,0.4624800425758382
다이어트프로그램,180.0,460.0,10,,2.5,9.6,1.52,2.23,640.0,0.71875,0.28125
한의원다이어트,230.0,840.0,10,,1.6,11.6,0.72,1.51,1070.0,0.7850467289719626,0.21495327102803738
자이로키네시스,120.0,530.0,10,,0.9,8.8,0.81,1.78,650.0,0.8153846153846154,0.18461538461538463
알룰로스시럽,80.0,310.0,8,,1.0,5.0,1.25,1.68,390.0,0.7948717948717948,0.20512820512820512
셀룰리스,20.0,120.0,9,,0.1,2.3,0.69,1.97,140.0,0.8571428571428571,0.14285714285714285
내장지방빼는법,2210.0,13300.0,10,,1.1,61.8,0.06,0.51,15510.0,0.8575112830431979,0.14248871695680207
뱃살빼는법,2470.0,19100.0,10,,2.1,118.0,0.1,0.69,21570.0,0.8854891052387576,0.11451089476124246
무자본창업,280.0,690.0,10,,3.7,30.8,1.42,4.56,970.0,0.711340206185567,0.28865979381443296
