seed_keyword,keyword,source,provider,rank,score_hint
갓생,"갓생 루틴 루티너리 - 하루 습관 계획표, 투두리스트",google_trends,google_trends,1,
갓생,갓생 뜻,naver_autocomplete,naver_autocomplete,1,
갓생,갓생 루틴,google_trends,google_trends,2,
갓생,갓생맥주,naver_autocomplete,naver_autocomplete,2,
갓생,갓생 사는 토크,google_trends,google_trends,3,
갓생,갓생,naver_autocomplete,naver_autocomplete,3,
갓생,마이메르시 - 보건의료인 갓생좌표,google_trends,google_trends,4,
갓생,갓생러,naver_autocomplete,naver_autocomplete,4,
갓생,갓생 루틴,naver_autocomplete,naver_autocomplete,5,
갓생,갓생부부,naver_autocomplete,naver_autocomplete,6,
갓생,갓생쇼,naver_autocomplete,naver_autocomplete,7,
갓생,갓생 짤,naver_autocomplete,naver_autocomplete,8,
갓생,갓생살기,naver_autocomplete,naver_autocomplete,9,
갓생,갓생러 뜻,naver_autocomplete,naver_autocomplete,10,
