keyword,monthlyPcQcCnt,monthlyMobileQcCnt,plAvgDepth,compIdx,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,naver_total_qc,mobile_ratio,pc_ratio
약사의 혼잣말,2960.0,23400.0,7,,4.0,168.1,0.16,0.83,26360.0,0.8877086494688923,0.11229135053110774
약사의 혼잣말,100.0,1220.0,6,,1.4,19.6,1.42,1.79,1320.0,0.9242424242424242,0.07575757575757576
약사의 혼잣말,80.0,870.0,6,,0.4,16.3,0.49,2.18,950.0,0.9157894736842105,0.08421052631578947
약사의 혼잣말,,20.0,3,,0.3,0.3,4.77,1.37,20.0,1.0,
약사의 혼잣말,,10.0,7,,0.3,1.0,2.67,9.68,10.0,1.0,
약사의 혼잣말,,,0,,0.0,0.0,0.0,0.0,0.0,,
약사의 혼잣말,90.0,1120.0,2,,0.4,0.0,0.56,0.0,1210.0,0.9256198347107438,0.0743801652892562
약사의 혼잣말,20.0,100.0,3,,0.0,1.0,0.0,0.97,120.0,0.8333333333333334,0.16666666666666666
약사의 혼잣말,,10.0,3,,0.0,0.0,0.0,0.0,10.0,1.0,
약사의 혼잣말,,30.0,3,,0.3,0.0,33.34,0.0,30.0,1.0,
약사의 혼잣말,,30.0,3,,0.3,0.7,3.34,2.39,30.0,1.0,
약사의 혼잣말,10.0,50.0,2,,0.0,0.7,0.0,1.89,60.0,0.8333333333333334,0.16666666666666666
약사의 혼잣말,,30.0,3,,0.0,0.3,0.0,0.88,30.0,1.0,
약사의 혼잣말,100.0,1370.0,3,,0.0,0.7,0.0,0.06,1470.0,0.9319727891156463,0.06802721088435375
약사의 혼잣말,530.0,1550.0,4,,5.1,22.1,1.07,1.51,2080.0,0.7451923076923077,0.2548076923076923
약사 보조사,,10.0,0,,0.0,0.0,0.0,0.0,10.0,1.0,
약사 되는법,340.0,2600.0,10,,0.3,8.6,0.1,0.35,2940.0,0.8843537414965986,0.11564625850340136
약사 되는법,1320.0,6490.0,10,,15.7,80.8,1.29,1.28,7810.0,0.8309859154929577,0.16901408450704225
약사 되는법,160.0,390.0,0,,0.0,0.0,0.0,0.0,550.0,0.7090909090909091,0.2909090909090909
약사 되는법,710.0,3560.0,10,,9.4,56.0,1.38,1.64,4270.0,0.8337236533957846,0.16627634660421545
약사 되는법,20.0,110.0,10,,0.6,10.8,2.15,9.16,130.0,0.8461538461538461,0.15384615384615385
약사 되는법,70.0,100.0,1,,0.0,0.0,0.0,0.0,170.0,0.5882352941176471,0.4117647058823529
약사 되는법,10.0,10.0,3,,0.0,0.0,0.0,0.0,20.0,0.5,0.5
약사 되는법,80.0,290.0,3,,0.0,0.3,0.0,0.13,370.0,0.7837837837837838,0.21621621621621623
약사 되는법,50.0,90.0,10,,0.1,1.5,0.22,1.81,140.0,0.6428571428571429,0.35714285714285715
약사 되는법,,50.0,7,,0.1,1.1,1.86,2.73,50.0,1.0,
약사 되는법,70.0,180.0,10,,0.1,2.0,0.17,1.15,250.0,0.72,0.28
약사 되는법,20.0,40.0,3,,0.0,0.8,0.0,1.79,60.0,0.6666666666666666,0.3333333333333333
약사 되는법,,10.0,3,,0.0,0.9,0.0,5.46,10.0,1.0,
약사 되는법,,20.0,3,,0.0,0.0,0.0,0.0,20.0,1.0,
약사 되는법,220.0,410.0,10,,2.0,8.4,0.99,2.2,630.0,0.6507936507936508,0.3492063492063492
약사 되는법,1010.0,4640.0,3,,0.0,1.0,0.0,0.03,5650.0,0.8212389380530973,0.17876106194690267
약사 되는법,180.0,490.0,10,,0.6,3.8,0.39,0.87,670.0,0.7313432835820896,0.26865671641791045
약사 되는법,30.0,160.0,7,,0.0,1.0,0.0,0.6,190.0,0.8421052631578947,0.15789473684210525
약사 되는법,70.0,80.0,3,,0.7,0.0,1.12,0.0,150.0,0.5333333333333333,0.4666666666666667
약사 되는법,980.0,4380.0,10,,15.9,81.2,1.79,1.93,5360.0,0.8171641791044776,0.1828358208955224
약사 되는법,30.0,90.0,7,,1.7,11.2,6.35,12.59,120.0,0.75,0.25
약사 되는법,40.0,150.0,10,,1.2,6.2,2.61,4.34,190.0,0.7894736842105263,0.21052631578947367
약사 되는법,50.0,170.0,3,,0.3,0.3,0.57,0.2,220.0,0.7727272727272727,0.22727272727272727
약사 되는법,3060.0,17000.0,10,,22.3,107.6,0.77,0.62,20060.0,0.847457627118644,0.15254237288135594
약사 되는법,20.0,60.0,3,,0.0,0.0,0.0,0.0,80.0,0.75,0.25
약사 되는법,80.0,310.0,5,,8.0,21.2,8.99,6.96,390.0,0.7948717948717948,0.20512820512820512
약사 되는법,110.0,280.0,10,,0.6,1.8,0.56,0.6,390.0,0.717948717948718,0.28205128205128205
약사 되는법,90.0,410.0,10,,0.7,9.8,0.86,2.45,500.0,0.82,0.18
약사 되는법,30.0,180.0,3,,0.0,0.0,0.0,0.0,210.0,0.8571428571428571,0.14285714285714285
약사 되는법,10.0,50.0,7,,0.3,1.8,2.05,3.31,60.0,0.8333333333333334,0.16666666666666666
약사 되는법,40.0,270.0,3,,0.0,0.9,0.0,0.35,310.0,0.8709677419354839,0.12903225806451613
약사 되는법,210.0,630.0,7,,0.3,2.0,0.15,0.32,840.0,0.75,0.25
약사 되는법,950.0,3950.0,7,,1.5,19.1,0.18,0.52,4900.0,0.8061224489795918,0.19387755102040816
약사 되는법,30.0,170.0,3,,0.7,0.9,2.16,0.53,200.0,0.85,0.15
약사 되는법,10.0,50.0,3,,0.0,0.0,0.0,0.0,60.0,0.8333333333333334,0.16666666666666666
약사 되는법,210.0,510.0,10,,0.4,4.0,0.2,0.81,720.0,0.7083333333333334,0.2916666666666667
약사 되는법,270.0,1200.0,10,,0.1,5.5,0.05,0.46,1470.0,0.8163265306122449,0.1836734693877551
약사 되는법,50.0,220.0,10,,1.1,6.0,2.12,2.61,270.0,0.8148148148148148,0.18518518518518517
약사 되는법,50.0,190.0,7,,0.9,6.8,1.51,3.76,240.0,0.7916666666666666,0.20833333333333334
약사 되는법,370.0,1660.0,10,,2.2,9.8,0.62,0.61,2030.0,0.8177339901477833,0.18226600985221675
약사 되는법,30.0,90.0,10,,1.4,3.7,3.79,4.23,120.0,0.75,0.25
약사 되는법,1960.0,1590.0,10,,0.1,1.3,0.01,0.09,3550.0,0.447887323943662,0.5521126760563381
약사 되는법,10.0,40.0,7,,0.0,1.2,0.0,3.32,50.0,0.8,0.2
약사 되는법,,20.0,7,,0.0,0.0,0.0,0.0,20.0,1.0,
약사 되는법,120.0,750.0,10,,0.7,3.8,0.57,0.54,870.0,0.8620689655172413,0.13793103448275862
약사 되는법,30.0,140.0,7,,0.1,0.8,0.4,0.56,170.0,0.8235294117647058,0.17647058823529413
약사 되는법,50.0,150.0,10,,0.0,1.4,0.0,0.97,200.0,0.75,0.25
약사 되는법,,30.0,1,,1.0,5.0,50.0,12.5,30.0,1.0,
약사 되는법,40.0,200.0,10,,0.0,1.8,0.0,0.84,240.0,0.8333333333333334,0.16666666666666666
약사 되는법,10.0,70.0,4,,0.5,0.5,3.78,0.76,80.0,0.875,0.125
약사 되는법,,30.0,7,,0.0,4.5,0.0,11.85,30.0,1.0,
약사 되는법,70.0,250.0,9,,0.7,6.8,1.04,3.1,320.0,0.78125,0.21875
약사 되는법,,,10,,0.0,0.5,0.0,6.46,0.0,,
약사 되는법,10.0,40.0,10,,0.6,4.1,4.66,7.83,50.0,0.8,0.2
약사 되는법,,10.0,0,,0.0,0.0,0.0,0.0,10.0,1.0,
약사 되는법,10.0,60.0,10,,0.0,0.2,0.0,0.35,70.0,0.8571428571428571,0.14285714285714285
약사 되는법,20.0,70.0,10,,0.2,1.3,1.25,1.96,90.0,0.7777777777777778,0.2222222222222222
약사 되는법,10.0,90.0,1,,0.0,0.0,0.0,0.0,100.0,0.9,0.1
약사 되는법,30.0,80.0,2,,6.2,27.7,21.54,35.06,110.0,0.7272727272727273,0.2727272727272727
약사 되는법,20.0,110.0,0,,0.0,0.0,0.0,0.0,130.0,0.8461538461538461,0.15384615384615385
약사 되는법,,20.0,0,,0.0,0.0,0.0,0.0,20.0,1.0,
약사 되는법,,30.0,7,,0.0,0.7,0.0,2.18,30.0,1.0,
약사 되는법,10.0,30.0,7,,0.0,1.3,0.0,4.66,40.0,0.75,0.25
약사 되는법,,,10,,0.0,0.0,0.0,0.0,0.0,,
약사 되는법,,30.0,7,,0.0,2.8,0.0,8.17,30.0,1.0,
약사 되는법,,20.0,7,,0.0,1.0,0.0,4.77,20.0,1.0,
약사 되는법,50.0,340.0,2,,0.0,0.0,0.0,0.0,390.0,0.8717948717948718,0.1282051282051282
약사 되는법,10.0,10.0,10,,0.4,0.0,4.45,0.0,20.0,0.5,0.5
약사 되는법,160.0,570.0,3,,0.0,0.0,0.0,0.0,730.0,0.7808219178082192,0.2191780821917808
약사 되는법,,40.0,7,,0.0,0.8,0.0,1.79,40.0,1.0,
약사 되는법,10.0,60.0,10,,0.7,1.6,5.39,2.54,70.0,0.8571428571428571,0.14285714285714285
약사 되는법,10.0,50.0,10,,0.0,2.4,0.0,3.88,60.0,0.8333333333333334,0.16666666666666666
약사 되는법,50.0,130.0,7,,0.1,2.0,0.29,1.69,180.0,0.7222222222222222,0.2777777777777778
약사 되는법,,,7,,0.1,1.3,14.29,17.86,0.0,,
약사 되는법,,20.0,7,,0.1,1.3,3.58,5.21,20.0,1.0,
약사 되는법,,20.0,7,,0.0,1.3,0.0,6.25,20.0,1.0,
약사 되는법,,20.0,7,,0.3,0.5,4.77,2.5,20.0,1.0,
약사 되는법,,,0,,0.0,0.0,0.0,0.0,0.0,,
약사 되는법,,10.0,7,,0.1,0.5,3.58,3.23,10.0,1.0,
약사 되는법,110.0,100.0,0,,0.0,0.0,0.0,0.0,210.0,0.47619047619047616,0.5238095238095238
약사 되는법,70.0,80.0,2,,21.6,22.9,27.72,25.68,150.0,0.5333333333333333,0.4666666666666667
약사 되는법,40.0,10.0,3,,10.9,4.1,29.53,40.91,50.0,0.2,0.8
약사 되는법,100.0,250.0,3,,1.3,0.7,1.49,0.29,350.0,0.7142857142857143,0.2857142857142857
약사 되는법,,30.0,1,,0.0,0.0,0.0,0.0,30.0,1.0,
약사 되는법,30.0,130.0,3,,0.0,0.7,0.0,0.5,160.0,0.8125,0.1875
약사 되는법,10.0,50.0,10,,0.2,2.8,1.43,4.67,60.0,0.8333333333333334,0.16666666666666666
약사 되는법,100.0,410.0,0,,0.0,0.0,0.0,0.0,510.0,0.803921568627451,0.19607843137254902
약사 되는법,,10.0,3,,0.0,0.0,0.0,0.0,10.0,1.0,
약사 되는법,20.0,50.0,0,,0.0,0.0,0.0,0.0,70.0,0.7142857142857143,0.2857142857142857
약사 되는법,80.0,310.0,7,,0.1,1.5,0.17,0.48,390.0,0.7948717948717948,0.20512820512820512
약사 되는법,,,7,,0.4,0.8,7.15,9.38,0.0,,
약사 되는법,10.0,20.0,10,,1.6,2.8,8.78,12.5,30.0,0.6666666666666666,0.3333333333333333
약사 되는법,80.0,570.0,9,,0.1,0.3,0.14,0.05,650.0,0.8769230769230769,0.12307692307692308
약사 되는법,,20.0,7,,0.1,2.3,2.05,9.79,20.0,1.0,
약사 되는법,,20.0,5,,0.0,0.6,0.0,2.95,20.0,1.0,
약사 되는법,10.0,50.0,3,,0.0,0.3,0.0,0.57,60.0,0.8333333333333334,0.16666666666666666
약사 되는법,,40.0,7,,0.0,1.0,0.0,2.71,40.0,1.0,
약사 되는법,,30.0,3,,0.0,0.3,0.0,0.87,30.0,1.0,
약사 되는법,10.0,30.0,3,,0.0,0.3,0.0,0.96,40.0,0.75,0.25
약사 되는법,,10.0,3,,0.3,0.0,33.34,0.0,10.0,1.0,
약사 되는법,,10.0,4,,0.0,0.0,0.0,0.0,10.0,1.0,
약사 되는법,,30.0,10,,0.0,0.5,0.0,1.43,30.0,1.0,
